"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.23","Guinea-Bissau "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.24","Kenya "," AFRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.25","Lesotho "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.26","Liberia "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.27","Madagascar "," AFRO",1,1,1,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.28","Malawi "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.29","Mali "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.30","Mauritania "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.31","Mauritius "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.32","Mayotte "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.33","Mozambique "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.34","Namibia "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.35","Niger "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.36","Nigeria "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.37","Runion "," AFRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.38","Rwanda "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.39","Saint Helena Ascension and Tristan da Cunha "," AFRO ",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.40","Sao Tome and Principe "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.41","Senegal "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.42","Seychelles "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.43","Sierra Leone "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.44","South Africa "," AFRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.45","South Sudan "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.46","Togo "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.47","Uganda "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.48","United Republic of Tanzania "," AFRO ",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.49","Zambia "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.50","Zimbabwe "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.51","Algeria "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.52","Angola "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.53","Benin "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.54","Botswana "," AFRO",0,1,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.55","Burkina Faso "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.56","Burundi "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.57","Cabo Verde "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.58","Cameroon "," AFRO",1,1,1,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.59","Central African Republic "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.60","Chad "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.61","Comoros "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.62","Congo "," AFRO",0,1,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.63","Ctedvoire "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.64","Democratic Republic of the Congo "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.65","Equatorial Guinea "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.66","Eritrea "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.67","Eswatini "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.68","Ethiopia "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.69","Gabon "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.70","Gambia "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.71","Ghana "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.72","Guinea "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.73","Guinea-Bissau "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.74","Kenya "," AFRO",1,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.75","Lesotho "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.76","Liberia "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.77","Madagascar "," AFRO",1,1,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.78","Malawi "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.79","Mali "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.80","Mauritania "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.81","Mauritius "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.82","Mayotte "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.83","Mozambique "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.84","Namibia "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.85","Niger "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.86","Nigeria "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.87","Runion "," AFRO",1,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.88","Rwanda "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.89","Saint Helena Ascension and Tristan da Cunha "," AFRO ",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.90","Sao Tome and Principe "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.91","Senegal "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.92","Seychelles "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.93","Sierra Leone "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.94","South Africa "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.95","South Sudan "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.96","Togo "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.97","Uganda "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.98","United Republic of Tanzania "," AFRO ",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.99","Zambia "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.100","Zimbabwe "," AFRO",0,0,0,0,0,"SC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.1","Anguilla "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.2","Antigua and Barbuda "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.3","Argentina "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.4","Aruba "," AMRO",1,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.5","Bahamas "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.6","Barbados "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.7","Belize "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.8","Bermuda "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.9","Bolivia (Plurinational State of) "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.10","Bonaire "," AMRO",1,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.11","Brazil "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.12","British Virgin Islands "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.13","Canada "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.14","Cayman Islands "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.15","Chile "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.16","Colombia "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.17","Costa Rica "," AMRO",0,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.18","Cuba "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.19","Curaao "," AMRO",0,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.20","Dominica "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.21","Dominican Republic "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.22","Ecuador "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.23","El Salvador "," AMRO ",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.24","Falkland Islands (Malvinas) "," AMRO ",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.25","French Guiana "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.26","Grenada "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.27","Guadeloupe "," AMRO",1,1,1,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.28","Guatemala "," AMRO",1,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.29","Guyana "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.30","Haiti "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.31","Honduras "," AMRO",0,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.32","Jamaica "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.33","Martinique "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.34","Mexico "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.35","Montserrat "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.36","Nicaragua "," AMRO",1,1,1,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.37","Panama "," AMRO",1,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AMRO_tr0_day_high_freq_rect.txt.38","Paraguay "," AMRO",0,0,0,0,0,"BIC",0,"none","none"
